COAL_MOISTURE,MILL_OUTLET_TEMP,AF_RATIO,MILL_INLET_TEMP
24,52.77777777777778,2.0,168.98179364941814
25,52.77777777777778,2.0,169.71230020785566
26,52.77777777777778,2.0,172.63432644160565
27,52.77777777777778,2.0,174.82584611691814
28,52.77777777777778,2.0,177.7478723506682
29,52.77777777777778,2.0,179.9393920259807
30,52.77777777777778,2.0,181.4004051428557
31,52.77777777777778,2.0,183.5919248181682
32,52.77777777777778,2.0,185.78344449348072
33,52.77777777777778,2.0,187.2444576103557
34,52.77777777777778,2.0,190.16648384410573
35,52.77777777777778,2.0,190.8969904025432
36,52.77777777777778,2.0,193.8190166362932
37,52.77777777777778,2.0,196.01053631160573
38,52.77777777777778,2.0,197.47154942848076
39,52.77777777777778,2.0,199.66306910379322
40,52.77777777777778,2.0,201.85458877910574
6,53.333333333333336,2.0,106.15822962379295
7,53.333333333333336,2.0,114.19380176660547
8,53.333333333333336,2.0,117.84633455879299
9,53.333333333333336,2.0,123.69038702629298
10,53.333333333333336,2.0,127.34291981848052
11,53.333333333333336,2.0,131.72595916910552
12,53.333333333333336,2.0,136.10899851973056
13,53.333333333333336,2.0,139.03102475348055
14,53.333333333333336,2.0,142.68355754566807
15,53.333333333333336,2.0,146.33609033785558
16,53.333333333333336,2.0,148.5276100131681
17,53.333333333333336,2.0,152.1801428053556
18,53.333333333333336,2.0,155.1021690391056
19,53.333333333333336,2.0,157.29368871441815
20,53.333333333333336,2.0,160.21571494816814
21,53.333333333333336,2.0,162.40723462348063
22,53.333333333333336,2.0,166.05976741566815
23,53.333333333333336,2.0,167.52078053254314
24,53.333333333333336,2.0,171.17331332473066
25,53.333333333333336,2.0,172.63432644160565
26,53.333333333333336,2.0,174.82584611691814
27,53.333333333333336,2.0,177.7478723506682
28,53.333333333333336,2.0,179.9393920259807
29,53.333333333333336,2.0,182.1309117012932
30,53.333333333333336,2.0,185.0529379350432
31,53.333333333333336,2.0,185.78344449348072
32,53.333333333333336,2.0,188.7054707272307
33,53.333333333333336,2.0,189.43597728566823
34,53.333333333333336,2.0,192.35800351941825
35,53.333333333333336,2.0,194.54952319473074
36,53.333333333333336,2.0,197.47154942848076
37,53.333333333333336,2.0,198.20205598691825
38,53.333333333333336,2.0,201.12408222066824
39,53.333333333333336,2.0,201.85458877910574
40,53.333333333333336,2.0,204.77661501285576
6,53.888888888888886,2.0,106.88873618223045
7,53.888888888888886,2.0,115.65481488348047
8,53.888888888888886,2.0,120.03785423410551
9,53.888888888888886,2.0,125.151400143168
10,53.888888888888886,2.0,128.8039329353555
11,53.888888888888886,2.0,133.91747884441804
12,53.888888888888886,2.0,139.03102475348055
13,53.888888888888886,2.0,141.22254442879304
14,53.888888888888886,2.0,144.8750772209806
15,53.888888888888886,2.0,148.5276100131681
16,53.888888888888886,2.0,151.4496362469181
17,53.888888888888886,2.0,155.1021690391056
18,53.888888888888886,2.0,157.29368871441815
19,53.888888888888886,2.0,159.48520838973062
20,53.888888888888886,2.0,162.40723462348063
21,53.888888888888886,2.0,164.59875429879312
22,53.888888888888886,2.0,168.25128709098067
23,53.888888888888886,2.0,170.44280676629316
24,53.888888888888886,2.0,173.36483300004318
25,53.888888888888886,2.0,174.82584611691814
26,53.888888888888886,2.0,177.01736579223066
27,53.888888888888886,2.0,179.20888546754318
28,53.888888888888886,2.0,182.1309117012932
29,53.888888888888886,2.0,184.32243137660572
30,53.888888888888886,2.0,186.5139510519182
31,53.888888888888886,2.0,187.97496416879324
32,53.888888888888886,2.0,190.8969904025432
33,53.888888888888886,2.0,191.6274969609807
34,53.888888888888886,2.0,194.54952319473074
35,53.888888888888886,2.0,196.74104287004323
36,53.888888888888886,2.0,199.66306910379322
37,53.888888888888886,2.0,200.39357566223077
38,53.888888888888886,2.0,203.31560189598076
39,53.888888888888886,2.0,204.04610845441826
40,53.888888888888886,2.0,207.69864124660575
6,54.44444444444444,2.0,109.08025585754295
7,54.44444444444444,2.0,117.11582800035548
8,54.44444444444444,2.0,120.768360792543
9,54.44444444444444,2.0,127.34291981848052
10,54.44444444444444,2.0,130.99545261066802
11,54.44444444444444,2.0,134.64798540285554
12,54.44444444444444,2.0,139.76153131191802
13,54.44444444444444,2.0,143.41406410410556
14,54.44444444444444,2.0,147.06659689629308
15,54.44444444444444,2.0,149.25811657160563
16,54.44444444444444,2.0,152.9106493637931
17,54.44444444444444,2.0,155.83267559754307
18,54.44444444444444,2.0,159.48520838973062
19,54.44444444444444,2.0,161.67672806504314
20,54.44444444444444,2.0,164.59875429879312
